code,name,brief,description
E1133,not-an-iterable,Non-iterable value %s is used in an iterating context,Used when a non-iterable value is used in place where iterable is expected
E1134,not-a-mapping,Non-mapping value %s is used in a mapping context,Used when a non-mapping value is used in place where mapping is expected
E1135,unsupported-membership-test,Value '%s' doesn't support membership test,Emitted when an instance in membership test expression doesn't implement membership protocol (__contains__/__iter__/__getitem__)
E1136,unsubscriptable-object,Value '%s' is unsubscriptable,Emitted when a subscripted value doesn't support subscription(i.e. doesn't define __getitem__ method)
E1137,unsupported-assignment-operation,%r does not support item assignment,Emitted when an object does not support item assignment (i.e. doesn't define __setitem__ method)
E1138,unsupported-delete-operation,%r does not support item deletion,Emitted when an object does not support item deletion (i.e. doesn't define __delitem__ method)
E1139,invalid-metaclass,Invalid metaclass %r used,"Emitted whenever we can detect that a class is using, as a metaclass, something which might be invalid for using as a metaclass."
E1200,logging-unsupported-format,Unsupported logging format character %r (%#02x) at index %d,Used when an unsupported format character is used in a logging statement format string.
E1201,logging-format-truncated,Logging format string ends in middle of conversion specifier,Used when a logging statement format string terminates before the end of a conversion specifier.
E1205,logging-too-many-args,Too many arguments for logging format string,Used when a logging format string is given too many arguments.
E1206,logging-too-few-args,Not enough arguments for logging format string,Used when a logging format string is given too few arguments.
E1300,bad-format-character,Unsupported format character %r (%#02x) at index %d,Used when a unsupported format character is used in a format string.
E1301,truncated-format-string,Format string ends in middle of conversion specifier,Used when a format string terminates before the end of a conversion specifier.
E1302,mixed-format-string,Mixing named and unnamed conversion specifiers in format string,Used when a format string contains both named (e.g. '%(foo)d') and unnamed (e.g. '%d') conversion specifiers. This is also used when a named conversion specifier contains * for the minimum field width and/or precision.
E1303,format-needs-mapping,"Expected mapping for format string, not %s",Used when a format string that uses named conversion specifiers is used with an argument that is not a mapping.
E1304,missing-format-string-key,Missing key %r in format string dictionary,Used when a format string that uses named conversion specifiers is used with a dictionary that doesn't contain all the keys required by the format string.
E1305,too-many-format-args,Too many arguments for format string,Used when a format string that uses unnamed conversion specifiers is given too many arguments.
